Wall time,Step,Value
1575880453.904233,1,0.15000000596046448
1575880505.221801,2,0.6499999761581421
1575880555.887179,3,0.6000000238418579
1575880605.6162539,4,0.574999988079071
1575880656.228765,5,0.75
1575880705.523927,6,0.7250000238418579
1575880755.539608,7,0.699999988079071
1575880804.673013,8,0.625
1575880854.2641,9,0.675000011920929
1575880903.2430668,10,0.699999988079071
1575880952.769342,11,0.75
1575881002.329087,12,0.7250000238418579
1575881051.677771,13,0.699999988079071
1575881100.664463,14,0.7250000238418579
1575881150.326936,15,0.6499999761581421
1575881199.9806552,16,0.7250000238418579
1575881249.572791,17,0.699999988079071
1575881299.488508,18,0.7250000238418579
1575881350.325216,19,0.7250000238418579
1575881399.875584,20,0.75
1575881449.7417479,21,0.800000011920929
1575881498.8628008,22,0.800000011920929
1575881549.117911,23,0.7749999761581421
1575881598.783029,24,0.7749999761581421
1575881649.114611,25,0.800000011920929
1575881698.709493,26,0.8500000238418579
1575881748.587491,27,0.824999988079071
1575881798.097482,28,0.875
1575881847.769792,29,0.824999988079071
1575881897.193414,30,0.925000011920929
1575881947.339815,31,0.824999988079071
1575881996.794685,32,0.925000011920929
1575882046.690242,33,0.824999988079071
1575882096.063783,34,0.925000011920929
1575882145.88599,35,0.8500000238418579
1575882195.522639,36,0.925000011920929
1575882245.573736,37,0.824999988079071
1575882294.895554,38,0.925000011920929
1575882344.5885499,39,0.824999988079071
1575882394.204694,40,0.925000011920929
1575882444.428771,41,0.824999988079071
1575882493.8452291,42,0.925000011920929
1575882543.660796,43,0.824999988079071
1575882593.082766,44,0.925000011920929
1575882642.8092191,45,0.824999988079071
1575882691.793328,46,0.925000011920929
1575882741.7863019,47,0.824999988079071
1575882790.729275,48,0.925000011920929
1575882840.825689,49,0.824999988079071
1575882890.439749,50,0.925000011920929
