Wall time,Step,Value
1575891154.5722728,1,0.42500001192092896
1575891298.142656,2,0.375
1575891458.46104,3,0.42500001192092896
1575891602.7698739,4,0.4000000059604645
1575891747.6091871,5,0.4000000059604645
1575891891.621724,6,0.375
1575892035.695759,7,0.4749999940395355
1575892176.656438,8,0.32499998807907104
1575892322.486851,9,0.4749999940395355
1575892463.972666,10,0.32499998807907104
1575892604.052556,11,0.42500001192092896
1575892747.259734,12,0.375
1575892893.410559,13,0.42500001192092896
1575893038.0909472,14,0.375
1575893177.8915021,15,0.4000000059604645
1575893317.396172,16,0.375
1575893462.485138,17,0.42500001192092896
1575893601.657111,18,0.375
1575893742.9650009,19,0.44999998807907104
1575893881.945796,20,0.4000000059604645
1575894024.133746,21,0.42500001192092896
1575894163.835882,22,0.375
1575894301.375326,23,0.44999998807907104
1575894436.406942,24,0.42500001192092896
1575894575.91188,25,0.4749999940395355
1575894714.5808709,26,0.42500001192092896
1575894855.841342,27,0.5
1575894994.018594,28,0.42500001192092896
1575895133.110174,29,0.44999998807907104
1575895271.7651541,30,0.42500001192092896
1575895409.1253068,31,0.44999998807907104
1575895550.284541,32,0.42500001192092896
1575895690.315733,33,0.44999998807907104
1575895832.2727308,34,0.42500001192092896
1575895974.0624902,35,0.44999998807907104
1575896113.338447,36,0.42500001192092896
1575896255.0569,37,0.44999998807907104
1575896394.252588,38,0.42500001192092896
1575896541.064978,39,0.44999998807907104
1575896680.334971,40,0.42500001192092896
1575896822.065259,41,0.44999998807907104
1575896960.1606872,42,0.42500001192092896
1575897103.222582,43,0.44999998807907104
1575897242.2607,44,0.42500001192092896
1575897384.5891662,45,0.44999998807907104
1575897523.3896031,46,0.42500001192092896
1575897665.5025659,47,0.44999998807907104
1575897804.739924,48,0.42500001192092896
1575897944.838121,49,0.44999998807907104
1575898085.083051,50,0.42500001192092896
