Wall time,Step,Value
1575883494.783751,1,5.121198654174805
1575883650.0599492,2,208.32765197753906
1575883809.1501591,3,737.887939453125
1575883956.025886,4,1495.7294921875
1575884103.623978,5,2405.228515625
1575884249.2638268,6,3408.28955078125
1575884395.10607,7,4460.2109375
1575884540.084981,8,5527.921875
1575884684.559784,9,6586.66357421875
1575884829.541376,10,7618.6884765625
1575884973.520195,11,8611.5947265625
1575885120.698955,12,9557.103515625
1575885263.569021,13,10449.8740234375
1575885404.941099,14,11287.380859375
1575885547.614182,15,12068.3876953125
1575885691.076968,16,12793.4775390625
1575885838.981169,17,13463.8564453125
1575885981.677264,18,14081.5625
1575886128.111077,19,14649.048828125
1575886272.451489,20,15169.1328125
1575886415.6171892,21,15644.583984375
1575886557.874309,22,16078.515625
1575886703.739586,23,16473.759765625
1575886846.515564,24,16833.279296875
1575886990.940703,25,17159.796875
1575887131.8521159,26,17189.32421875
1575887274.469472,27,17215.8515625
1575887413.352211,28,17239.7421875
1575887558.3403049,29,17261.185546875
1575887701.774807,30,17280.5078125
1575887846.5360289,31,17297.82421875
1575887986.81978,32,17313.419921875
1575888131.53502,33,17327.392578125
1575888271.768976,34,17339.978515625
1575888409.365807,35,17351.23046875
1575888550.464065,36,17361.365234375
1575888691.462126,37,17370.419921875
1575888830.817523,38,17371.25
1575888971.260837,39,17371.966796875
1575889110.162393,40,17372.6328125
1575889255.351556,41,17373.203125
1575889397.569589,42,17373.73046875
1575889539.931478,43,17374.18359375
1575889680.58787,44,17374.615234375
1575889825.6954398,45,17374.9765625
1575889966.244582,46,17375.322265625
1575890109.2859929,47,17375.599609375
1575890251.288943,48,17375.873046875
1575890392.7508311,49,17376.095703125
1575890533.005895,50,17376.314453125
