Wall time,Step,Value
1575870878.366343,1,0.23999999463558197
1575870908.050312,2,0.699999988079071
1575870936.772275,3,0.5400000214576721
1575870965.2616,4,0.5799999833106995
1575870993.9098618,5,0.6200000047683716
1575871022.288652,6,0.6399999856948853
1575871051.418758,7,0.5600000023841858
1575871080.36841,8,0.6600000262260437
1575871109.371762,9,0.6399999856948853
1575871138.5666208,10,0.6800000071525574
1575871167.7601411,11,0.6600000262260437
1575871196.786005,12,0.6800000071525574
1575871226.1357281,13,0.6800000071525574
1575871254.4732952,14,0.7400000095367432
1575871283.0604641,15,0.6800000071525574
1575871311.3269172,16,0.699999988079071
1575871339.935477,17,0.6200000047683716
1575871368.226099,18,0.7599999904632568
1575871396.7226,19,0.7200000286102295
1575871425.020137,20,0.6600000262260437
1575871453.658116,21,0.6800000071525574
1575871482.130701,22,0.7599999904632568
1575871510.7409909,23,0.6800000071525574
1575871539.20661,24,0.800000011920929
1575871567.714881,25,0.7200000286102295
1575871596.005407,26,0.8399999737739563
1575871624.5099452,27,0.7799999713897705
1575871652.766731,28,0.8600000143051147
1575871681.2694452,29,0.7799999713897705
1575871709.3926919,30,0.8600000143051147
1575871737.949034,31,0.7200000286102295
1575871766.2621691,32,0.8399999737739563
1575871794.726629,33,0.7200000286102295
1575871823.027939,34,0.8199999928474426
1575871851.5218089,35,0.7200000286102295
1575871879.775528,36,0.800000011920929
1575871908.242869,37,0.699999988079071
1575871936.500339,38,0.800000011920929
1575871964.961362,39,0.7200000286102295
1575871993.170537,40,0.7799999713897705
