Wall time,Step,Value
1575876641.967113,1,1.2513304948806763
1575876667.344332,2,1.0232430696487427
1575876692.528757,3,1.178688406944275
1575876717.7631528,4,0.9760435819625854
1575876742.911629,5,1.1685733795166016
1575876767.5586948,6,0.9156949520111084
1575876792.3814778,7,0.9950795769691467
1575876816.899224,8,0.9877627491950989
1575876841.661665,9,0.9675706624984741
1575876866.0849438,10,0.8740756511688232
1575876890.639036,11,0.9738188982009888
1575876915.097655,12,0.8261103630065918
1575876939.6908648,13,0.9164517521858215
1575876964.4774148,14,0.8204228281974792
1575876989.2620878,15,0.8366231918334961
1575877013.60098,16,0.7763347029685974
1575877038.139928,17,0.8720549941062927
1575877062.478734,18,0.7636107206344604
1575877087.006031,19,0.8103963732719421
1575877111.3904262,20,0.7726442217826843
1575877136.362544,21,0.9433441162109375
1575877161.107738,22,0.8364509344100952
1575877186.219788,23,0.8740489482879639
1575877211.101953,24,0.7034542560577393
1575877236.229547,25,0.8430843353271484
1575877260.772115,26,0.7390133738517761
1575877285.7945302,27,0.7936463356018066
1575877310.332711,28,0.6678737998008728
1575877335.428106,29,0.7371220588684082
1575877359.745634,30,0.6568883657455444
1575877384.71281,31,0.7365372776985168
1575877409.371912,32,0.6779093146324158
1575877434.192267,33,0.7313554286956787
1575877459.0304298,34,0.6744154691696167
1575877484.755189,35,0.7182652354240417
1575877509.534882,36,0.6506884098052979
1575877535.230599,37,0.6952950954437256
1575877560.088483,38,0.6399779319763184
1575877585.241303,39,0.6850535869598389
1575877610.049813,40,0.6383177042007446
1575877635.125472,41,0.683875560760498
1575877659.577556,42,0.6334062218666077
1575877684.195509,43,0.6875967383384705
1575877708.624759,44,0.6261850595474243
1575877733.27393,45,0.6739965677261353
1575877757.8797178,46,0.6301268339157104
1575877782.561175,47,0.6685910224914551
1575877807.056523,48,0.625809371471405
1575877831.73734,49,0.6637107729911804
1575877856.208155,50,0.6280670166015625
